product_key,name
plus123:g5jecb,Paypal 接码 （一次码|巴西|看清楚商品说明）
3GM9S065:k3d17z,CHATGPT FREE号 （已经接过码）
plus123:rtf3fk,🟨【21-26年老号】谷歌邮箱成品老号·Gmail带2fa链接·包登录🟡自动发货
plus123:m1g92p,高纯净度家庭住宅 美国IP
plus123:pe3hf0,（可抵扣）美国公司注册，多州可选，适合跨境 / TikTok / 海外项目
plus123:4q0578,最稳巴西pix渠道- 质保15天- icloud 邮箱-支持登录codex，动态家宽注册
plus123:djo1gu,英国 实体卡 Giffgaff 旅游专用(一天内发货）
plus123:n8423k,美国教育邮箱（@live.hccc.edu）
plus123:vixzco,【印度+91】
plus123:65djsf,【随机国家】 双向撸毛号
plus123:gt7xha,【美国+1】特价 精养推荐
plus123:7mw4xh,Twitter推特账号 注册1-7天 | 邮箱认证 邮箱可用 | 包含2FA+CT0+token登录
plus123:a9oetd,Outlook邮箱—无售后
plus123:7smune,【随机地区】】6-12个月
plus123:hc5dxk,[ 30天 ] 有效期卡密｜附加商品｜自动发货
plus123:amb1d0,[ 14天 ] 有效期卡密｜附加商品｜自动发货
plus123:75mhtb,[ 7天 ] 有效期卡密｜附加商品｜自动发货
plus123:moke6j,[ 3天 ] 有效期卡密｜附加商品｜自动发货
plus123:84et1t,[ 1天 ] 有效期卡密｜附加商品｜自动发货
plus123:qqi60z,【长期稳定】 iCloud 邮箱子号｜可回信可收信｜ (质保3天) 非分裂邮箱 支持API/网站
plus123:zdnaro,【长期稳定】 iCloud 邮箱子号｜可回信可收信｜ (质保15天) 非分裂邮箱
plus123:5139n5,【长期稳定】iCloud 高质量邮箱｜可回信可收信｜ (质保15天) [可注册GPT] 支持 API/网站
plus123:f5mf22,HOTMAIL邮箱(带账密和令牌，可快速取件)
plus123:9pkfx7,Outlook邮箱(带账密和令牌，可快速取件)
plus123:1m8o91,06-19年GMAIL邮箱/2FA/随机地区
plus123:mdtjue,gemini三个月优惠链接，给老铁救急用
plus123:hqzx0z,20-24GMAIL   US(看教程还不会使用的别拍)
plus123:b0nqki,20-24GMAIL邮箱/2FA/随机地区(看教程还不会使用的别拍)
plus123:8yzqq6,【美国+1】2~3年 精养老号 | 顶级权重 | 无视常规风控
plus123:3xcxu7,【印度+91】1~3年 精养老号 | 高权重 | 抗风控强
plus123:sea9jk,【美国+1】1~2年 精养老号 | 高权重 | 抗风控强
plus123:nge8rj,【加拿大+1】9-12个月 精品稳定号 | 中等权重 | 进阶安全使用期
plus123:9pd7n3,【美国+1】6-12个月 精品稳定号 | 中等权重 | 进阶安全使用期
plus123:i0o52e,【美国+1 】高性价比新号 | 基础权重 | 必备小号备用号
plus123:bk7yge,【格陵兰+299】绝版6位短号 注册时间随机
plus123:80dso6,Chat GPT GO 月卡 美区（安卓IOS通用）正规IOS 质保30天
plus123:17bvo2,【美国+1】3~6个月 精品优质号 | 中低权重 | 度过风险期
plus123:4881ku,【格陵兰+299】绝版6位短号 注册时间随机
plus123:k4s2hl,Perplexity Pro 月卡 全区通用ios直充，可开发票
plus123:4ptydz,随机区谷歌Gmail邮箱，12小时质保首登
plus123:6rymm5,chatgpt成品号-高权重谷歌邮箱开通-未接码-印度UPI【新产】
plus123:3ix9zt,英国永久手机号（GG实体卡）
plus123:idvtge,bug的team，一个250刀。尽量用cpa跑，sub2调度有问题，下订单前看清楚
plus123:ljcftu,ChatGPT Pro5x月卡  质保不掉订阅 可开发票  IOS渠道
plus123:8bfeis,质保-Max5X 成品号(全程质保)【预订款】人工交付
