product_key,name
plus123:rtf3fk,🟨【21-26年老号】谷歌邮箱成品老号·Gmail带2fa链接·包登录🟡自动发货
plus123:a9oetd,Outlook邮箱—无售后
plus123:zdnaro,【长期稳定】 iCloud 邮箱子号｜可回信可收信｜ (质保15天) 非分裂邮箱
plus123:5139n5,【长期稳定】iCloud 高质量邮箱｜可回信可收信｜ (质保15天) [可注册GPT] 支持 API/网站
plus123:mdtjue,gemini三个月优惠链接，给老铁救急用
plus123:hqzx0z,20-24GMAIL   US(看教程还不会使用的别拍)
plus123:b0nqki,20-24GMAIL邮箱/2FA/随机地区(看教程还不会使用的别拍)
plus123:8yzqq6,【美国+1】2~3年 精养老号 | 顶级权重 | 无视常规风控
plus123:3xcxu7,【印度+91】1~3年 精养老号 | 高权重 | 抗风控强
plus123:sea9jk,【美国+1】1~2年 精养老号 | 高权重 | 抗风控强
plus123:9pd7n3,【美国+1】6-12个月 精品稳定号 | 中等权重 | 进阶安全使用期
plus123:i0o52e,【美国+1 】高性价比新号 | 基础权重 | 必备小号备用号
plus123:bk7yge,【格陵兰+299】绝版6位短号 注册时间随机
plus123:6rymm5,chatgpt成品号-高权重谷歌邮箱开通-未接码-印度UPI【新产】
plus123:idvtge,bug的team，一个250刀。尽量用cpa跑，sub2调度有问题，下订单前看清楚
plus123:vwn6gv,全新Google Gemini年卡账号
plus123:kxulxu,ChatGPT 充值码，对应8美元一个月的Go订阅
plus123:haos8d,iCloud邮箱子号（非分裂邮箱）
plus123:3vx104,outlook.jp/日本微软邮箱长效 OAuth2令牌号支持imap/pop/graph双协议
plus123:4kcehj,outlook.com.au/澳大利亚微软邮箱长效 OAuth2令牌号支持imap/pop
plus123:duwv92,微软长效邮箱hotmail邮箱- OAuth2 + Graph 满周长期有效
plus123:tez6ff,微软长效邮箱Outlook Trusted 邮箱- OAuth2 + Graph 满周长期有效
plus123:vgp02i,美国大学教育邮箱Edu Mail【质保7天】
plus123:fhau0v,Gemini 三个月优惠链接
plus123:b2yujt,闲鱼助手自动采集上品下品降价   测试卡
plus123:abu6dl,反重力antigravity  24小时自助代过 CDK激活（扫码接码激活代过）
plus123:alj7re,提取12个月优惠链接 一次 gemin pro（不会用别买不退不换，小白别买）
plus123:736giq,德国长效 outlook.de  全新注册 业务自测 不售后 看清楚 在下单
plus123:9lolvd,美国雅虎YAHOO.COM邮箱（网页版）
